trader,tokens_closed,gross_proceeds_usd,cost_of_sales_usd,realized_pnl
ChURNHS1NSRJ6hexWonrx4su2eEaC7ix7uphMenChmTk,1,138.91,283.65,-144.74
8EmcmWTaJFYSccFgd4u2m7mjXXfAdca5rmpntpXnJ2Dh,1,347.12,402.97,-55.85
Hdt9QBUcq3hLq53J6dXj4BhXJNzpFh4YGQiHVJbB4cEw,4,1081.74,2490.08,-1408.34
GFDVVq2e1JUqHquzX6z8pm34iXz2pE2K9WaDcZKuDSqC,3,2316.92,1816.54,500.39
FU8sk2of9rX5NPavodKryoioyrghf1A78165EqUgnhe8,2,2431.77,2096.42,335.35
vQwcAe6ySSeKforQ1MCYtHQcCPa4gD1d6d8NdyVofru,1,121.91,108.62,13.29
3k8wpQ369zixf3GLTfbkaXmvRygXShWJYpcEKALvWX9i,1,354.19,300.0,54.19
GUJ6BEXH4HsbSXtwxB9ATpYQ5AyDE3aE5BF3PinVZvQr,1,426.07,226.95,199.12
H83weAYvEosBP1fLSkS2E4YP9zS71Z7YUegpNr6A5r4p,1,51.98,60.45,-8.46
85xtvamVJeyTyEvcoCj7KqZXajXiyMkSBC2F3W2dLEpV,1,461.56,283.39,178.17
5RWygTWdZe1i381iv4gJrgSk6csyeuRHALA37auGPKrQ,1,2669.25,1389.61,1279.64
ARfeWv4W6eJMCErFEGw8MBcsCLfDxr2rzeDAfBq7M4DN,3,2853.3,2682.85,170.45
Fx63mqXc88sJ17xygY7rFLg1ZKEmQzwc6Fi1vE35hXzL,1,399.05,506.28,-107.24
EKdfSM6s85yywJnxTGWoSUhpPs4jyL83siS2SS6zgEoi,12,4742.98,5221.9,-478.92
6ZTYzfDDQGDpFxDUN5Khu1UVgZ6TN3KmjsAZL3SnfPQo,1,896.61,1138.66,-242.05
PTmqUxvdaqGFBkbdMVs6BTJoztaDajfcSTNT8ChZuQ9,1,21.59,31.84,-10.25
HSBT1F16veYNzoUYsxW6pK16LgRNMn3zXvqR7WSUz5qS,1,333.46,220.0,113.46
B5r2z2xxJzMnrwdthU6AF9h9JXzx7kLZJHKUx34SeBW3,2,1543.5,1688.89,-145.39
BzvvKLnrTJYYFx2MCLCFUuyEjWxpp1RiYYvA6EtyL8JL,1,455.27,439.3,15.97
GLfswvSqe4vmPmsKpR5mJN8M7bXjH72XVxWhHfAhfGrj,1,139.64,215.25,-75.61
2RSSUNhFJT816yELw8g3g8Fdhn5UJDxQpU3eKqd3ih2i,3,1125.53,1586.85,-461.32
EEsb5ba61o8NFSxnkVVgMaohobSF5SdEJtj3ZkytrEdn,1,20.94,15.75,5.19
eUsB7o5HXb4xj3RD4eZjumRV6T65PQELbhd8mNFRjk6,1,2125.92,2752.84,-626.92
4WsQVBX2fQc5J24TBb4cNQeGoFzwYpZRcNXpsvxScyXg,1,472.1,500.31,-28.2
43Fa3fBFPC8XMBrv4y7pJzooiWymrq5jJVgSZkRX2T6G,3,2293.67,2250.0,43.67
HAbdgL2bTiuRsmNFqVPPtumQpPfQfdSkpMA5fh1YAz4i,1,781.16,324.41,456.75
7caqgTxHH68KkCHbGFQ5ygPj1JRqGfkW8BsxrRqyyXTS,3,818.35,642.65,175.7
9odqZwt7hiZTeyZAVxN9foqAfp3G24KDe5C8Sk24xWVY,1,349.29,470.31,-121.03
DgPFb2Q7YrjNFbz7taRNm2DULFhMMkuGEBtM7qQvjqJi,11,19692.65,19952.64,-259.98
GRFArWaHAiiQ6RibP7KkC93r2jNTFtqmRqNxBFH1EcWR,1,198.36,55.66,142.7
UixcTxdATFqnASnmNDoUaNnPNSKWyk4iCat3iPEE3Jb,2,598.38,525.02,73.36
6MhuwrBoJpgDGn2yCpzEs7EVtMz8RzzdUEnAG5dpPmwv,12,13881.29,14750.79,-869.5
2QDGj5BWMSNyEfmyDFx7eEvWWm4KujUPJ38Xdkntvxtd,1,1202.37,1271.65,-69.29
G4iN9RZHrHHehBWTyYRn3WaYvpGMZZu82ytYoeoKhLBn,3,1329.28,1232.19,97.09
MyFyjN12VnYNRhxUqXgof1EEy16Edm6njDmGr4PytDo,1,4413.49,2383.91,2029.58
3827n7KeTnheKVqBpVuMzfxM6Goi7BidpYTtYQU3ZqZ3,1,200.28,209.62,-9.34
FFSeaSe7Gv3dUC8bbsfd6CaUyYQMMDhh5ieZKLFkWT3B,1,1866.16,2109.56,-243.39
F3JRBRQCg8ozEmTvYaXTTK2N4QtbS4pfDdEyc1FGBVvv,1,647.27,1716.21,-1068.94
2BnUYcxd4mJPNWPKMkfJToKpUG87wEs5bcuUYVcbGhxf,1,25.11,11.18,13.93
FcVtJmKVbBEEgNbo1oUU3SujmMFD4aSe7FbLbn43bmHY,1,233.95,240.9,-6.95
A9hH2C8CoS21PvVRn4sg5iwNFoSgiSeFQpoxDxAtm9Nu,5,814.51,1592.44,-777.93
3sXAjThYek5f4DQzmxT8HFLqc2sQHzsJVVqPQwqhjxFk,15,33009.91,35556.26,-2546.35
2NSkeaqNAkGt4pFxgaoZgShxmXtFtvHMUwj4kf9iNobU,2,5202.77,4499.05,703.73
EPoCf1nEcyTQLMviGVViMeSXh9k6V67N9VegZRvd54Fc,1,873.91,780.7,93.21
fm3kusX2rueUuVLdu3q3srpXYxyP9CHnfz4h8WzuESV,1,242.98,730.55,-487.58
BcVqR3Q3jhdBMVf5N8oYASjGseREpa7w7YvJjgMA4F1x,1,934.07,1091.95,-157.87
FDB6yZWLVw8NKXjTmoXLjLeaShN4cJxHe4jqati6HvZn,1,7.47,2.36,5.11
33AumFYZ7XVEFCoJS6F23rqaqz4sfbURDY4zBh7drX3G,1,91.59,112.97,-21.38
79wxR5TfrLGFWRuC8NXjUB9xUcMFJKTrTAJMHiietMQW,3,884.42,1000.0,-115.58
75YjQA1NyEXZJK6iC2CtRzrphtMFHN4o2M3Dt2LdNVoY,2,405.22,703.0,-297.78
8tSjMuGHhzLWjWA1wMEV9hNuGMdQwLprU3hEz8hVahz6,4,1277.77,1042.53,235.24
BFazigjWcPmjpPZZUDuWsSGQAdM5H3B9Arrr9rCes8mV,1,526.34,174.34,352.0
FVQdDcfsgoTyHD9rKRZdnpEGpreJMXDsA6is65k4pYx8,1,310.66,314.26,-3.6
EYUPGnoQcnwUtoijM8fSMqWu7i2khFRcd5Rj61wezu2z,1,189.69,237.0,-47.3
gkBUgNKV7qEB6HEHks8tHPXyBCJujhtPB5xasFTEmuC,1,347.24,246.33,100.91
9kPJJCctcDmqAWXSZJQeqhrgyzJtKqWMLv1n42GLnfrY,1,119.5,49.16,70.34
Gze1tSoQbryaM19Y8veMaDYfxHNzGnxtN2xRvEBEkLfE,7,4780.89,4559.52,221.37
CMUafg4wPfWAEU5n2SYgvWFW9zfYdwnQMTepp1bfd39q,1,1354.01,380.91,973.1
52UVZ78v86kqhGk2eWUe4vHQXsPPbDAnkQhHUg4c26US,1,983.95,906.64,77.31
GiAEkaqNMWwKDxTWAV82XMmeyh8enpC87wJqNzrKXgCE,2,469.26,903.06,-433.8
5bHhmuHsG2v7k67mRcv2mWQVAwgtpLMY4BQTJtkbwrcS,2,479.57,399.62,79.95
FfME1SL8aRh3VYXNuk8BMU31D7cpZttiDmB8XgvrRo1N,1,48.56,21.3,27.26
3Gpt3ZqqcSmk3JSJY8f3ywtFpQaMacG6m9X6SVvGs3XW,2,691.62,794.4,-102.78
5Y54kpzsYvYEZmN6peXpP1vVvAS4XkUFjQZfHRcjBjN5,1,2243.53,1655.94,587.59
4CxqnbSAfSDfLPDqCLWpK46woHLbT4dkaW6GxGzs2MEh,1,132.19,301.31,-169.12
6Zr3DX2Ggtytdu857bPSFXsLdBVDgMgNwkDcUkG8YjG7,2,498.05,602.45,-104.41
BwLTzqgDHhupNVPPANzPuFUzVpEMnLhDBCvwQcV9RGxp,3,509.52,505.47,4.05
GYpm67hUhqN8e49VLbBLyqm2NpMZwnYSQg7ChGkcwT32,1,315.12,447.06,-131.94
7fYBGtk3wK8KYs4phQAgTgpPy1FB524cc5VGfiLyS89X,4,1133.73,1369.08,-235.35
3SVUjrXtjyrRDPzaKSAM9mFxjCZLuvVLnFek2CBdqDfF,3,4421.9,5223.44,-801.54
81sgaTeY3mNxhapMLSu6RCVQgX24diDFRysaWFNujS5F,1,780.29,726.99,53.3
6pqQAbupoEeFNsm3egPWqnWBGZUQ86x9eR7zTsiyWrCp,3,45553.14,52961.63,-7408.48
5CfmdyyKaU94P3rrDn7ESQ1ws2qKhEJzmv7gyTGZdLyt,3,529.96,573.5,-43.54
C6Ez3HNW6z5pHRzTmrsKUpAiyLq1YcCYwgPzm9bimVf5,1,149.89,159.36,-9.47
6MkqQcHN2oWGPDzA5dz8bnsGKvjHtWPd1tunZqgLLWMa,1,141.13,289.0,-147.87
87gsead6RVCd1sd3hHFzvB5YvkrS7BaistFKxR4jTZDx,1,410.7,500.0,-89.3
HhPMYdQfFHcVsPqdazEHpKb6tMbHahow7MRgLF5K8jq1,35,38693.05,40642.07,-1949.02
8x6R5zLL41N41aM3NSgTZAD3ys2YZSHsDLuiq9Dkh3Mw,1,211.7,210.21,1.49
BcUp9N3qHsVTzLUN736i8KssWBnYkrZ1FABs5QTLWFxi,1,235.74,239.0,-3.26
Ew2PkDuwHETcEskozPcnKc4JPyKfHpASQC3y1mXEcscK,5,1558.51,2051.19,-492.68
BS3MyQReereuKzAvkfQscvHHLhi4bsFL3X3Zw55oMu2e,1,1841.41,1108.38,733.03
F9wHCDQq9z7nvE1eNzd3fYYF7kgQ1UG7cdyQvAxa7GgQ,1,58.1,47.13,10.97
9f1zULk7fdHJSATtW6ynmKnwooVBnsHbcuxXrn3uCu4W,1,2967.44,3489.27,-521.83
AsVfbbWvzpfv1PjxGKqqnEeBT2nCKWySGv7JHydEDBWv,6,6029.02,6967.1,-938.08
AJBxS4zFQ11f5sdFX88exAHoLN8m5XEUCdxxhAJbHhBo,4,1426.44,759.07,667.36
2kjuQoQyzj3hoiaWLQiaS6fon2qcBJAb4GLsGJRBmXXn,1,229.86,237.13,-7.27
DefwnqcvUgJzUYAVCPj6y9pREToDmomhKncRpiLqMkuy,3,1058.66,1124.52,-65.86
5CgRm791UCi6WKW9FtFYsDX2md4YpqivL8hc6AJEHC5f,2,1249.88,1140.72,109.16
7wbyQxkqYpRr6RsB6XtNkFKnMjyWe3PmjCpYAeWVou7C,1,199.68,480.0,-280.32
CYGjVW3vxJ5131fCt3MCHeed2HbJ7uRwLPQBqAVNZfHT,1,71.32,41.0,30.32
F5XFiKL6sRn7wsq1bcSEuMBQaaPqi2QFnbTQyAio8pX9,6,29111.78,28706.45,405.33
VzC7cmGxpQxVLFwEnd1xuS8iBKrRkmao28okzXRpLnq,1,147.54,245.62,-98.08
C7CutFLKEfXSowi4Bqos68gGvb5DNzqLsKdpWQm1fVQs,2,1533.16,886.03,647.13
7br77kLSi8xTdiujn1oC3pJscVmhtN9RLZ3dKBoUxDR1,1,428.57,364.9,63.66
7Q3aXVjc6eUDLECDd6mvSLK3rmpnHv4jX95DkvDpw1z4,1,17.71,17.84,-0.13
9vW7dKf4ug6uxonz2Kx7vLniMvxkQYWHsp3ENKbVCeRT,11,5025.03,5918.9,-893.88
5eiXSFxmZKKo8V6qTw72SBskCZa7ok8jyqutsvtCuE1i,2,358.45,694.8,-336.36
euKXUBX6q8iGua2d3c4BpMWnu1vZy1Yu4QfZ9J9AMab,1,690.12,532.46,157.67
rADT18BTK3iXZRDJxj8pzFQnm8w8sfy7eXB8yaciupQ,1,196.7,140.96,55.75
3QDmPh6CYv1ZvQb4N6uFM6oCMeCKStvQTe9Rh6pYRcoF,1,300.1,167.07,133.04
4CwrH924ZreiA4rjEfWRbVa28LrzYb18EBjGhLLZwBjX,2,502.17,800.0,-297.83
GNK5wwYHzBUUpJPzPbZJ8owZVgEy6pmtfkd2QwM27PG6,3,934.49,744.03,190.46
Ftq8DvPxZDsoXhLMyeF2L55fAhnoYfVgaW3J3N5JXnkj,1,157.14,125.99,31.15
EacFNVK3iaUncwdByctnAFa2d7XU8ps4Y2TNpEPoutMR,15,20511.2,21978.67,-1467.47
HkLG1MHNeez2ULwu7hCtt2jEx1VePP1ij992T3NsBbEN,1,618.29,356.26,262.03
CDsastczw72d4ekSaiLmeYirb1ddwjhpmC3N73nMNxFw,1,340.87,317.86,23.01
CfQ5FzN2cVRtx5efgvRs1Lf5M7HAc9Es4hpnL9wgUxi6,2,621.24,742.9,-121.66
8DpbZLQFv974ewcLsGALivrE3ZF5LHMvG9za9ctDF5y,1,37.47,39.99,-2.52
3Pp1YjurLGbEAiG8qZrazWhgTpuaEeg5etXZJT8EsWhk,1,142.06,500.0,-357.94
GFNLhQhiFCqkvWbDU1tSQffTaYwxfsrSESAg7GErHRSs,1,891.19,600.0,291.19
2RBoMHarLdTuANKWnCUCBP57FBkboxc5VVUodvKrx7Yj,1,1364.06,714.84,649.22
AWqqAciBPKmoWaZc2kXiRy1CKXF4gdGdMF2pMM5juinF,1,509.13,522.64,-13.51
DkUd9MveKasWcft1CfQwVvdZkTkjFSj7ozoMCXaPSdnS,1,37.87,25.52,12.35
G16WxjJCzXcubEGkNmxdzzFiqXJUZeHGLpahcQ77VJpd,1,10.26,10.87,-0.61
A4CNm8tn22LTkE74jLaUMrar7NgVHXzkSQqJJ3oFqPbx,1,207.07,154.46,52.61
CZjAEVF1HgaSkyPAjUzfAbChusTZPikAn7da4f8axRcP,1,930.91,1578.16,-647.26
2XN5V7o8NtLU9wb1McMxL6Y9jmup8me5HYd6MxgV4b1o,3,1830.92,1081.14,749.78
CzVDYoE2WtyX6tMiuDkvdr4iyLi8Pdr3N6TDasFDQhgR,2,3234.51,3442.78,-208.27
4pxZRFgp5YDSqBQF5aKbGifGm6w3iKt73NFcewJ1JhCM,2,739.12,997.82,-258.7
9TFxka5zURbWkNjNoBGWXqWHj8bs74Uz4rJhukehibnx,2,938.8,1061.38,-122.58
EY29gKcsaTbw2tHM8n55tuQwoZi9fE4YAsbvUmyABUB9,1,160.67,196.32,-35.65
35rrhrKscVKUFHRMCfmq25a9Mq4FkKLWKjF2kjawwVff,3,1041.63,584.44,457.19
vcL72zptAS3UYJm7aHVwAJJF97xFjmHDzTS6yoX8h4k,1,570.29,578.46,-8.18
9H7w2GkSq3bFQm37cTdYrtp7JnTdz64A2i2ugeZ985CQ,1,123.22,300.0,-176.78
5FcYLrNGTzCqFML7fPxiJT6uKURu8BoiP46RBH2d6sdn,1,3.33,8.18,-4.84
GGhTmwTEy7BDp3GA824YCdQPRTcZYo6QQFfb2jxM7GNf,1,191.52,191.94,-0.43
3dQKsiApCmToxwM8FKhukjKad43wqQznpG8P6c48Mt4a,1,500.36,250.0,250.36
9bBcAHTj9UXxEiBVtq3VJA4RTg7ezFz9G67LhaZGgudM,1,77.58,200.0,-122.42
DxZugNPdWgaN1SnDMmMnYRoTHEiYihMtFwQHaQFdxu9Y,1,294.23,290.55,3.68
831CMQX6HpinN6sEFZfN52fjCAJjkbfzMGyxC2C9AY8E,1,361.63,458.17,-96.54
GE7hfYYh4393oDu2sTNUk4B87tAVWg9rcJXm9VGjyh3U,3,7045.36,7111.55,-66.18
4j5qkewjW3164kb4JqSDBjFDfa4k86RV8UAeWidB6Ltz,1,685.9,399.04,286.86
4H4N1733C23YQB5UNZPzMJEZHoyKvXyty7i3sTyxEtMd,1,28.17,56.18,-28.0
A8xFfTnsJr1UJEXywk8FV28ZsGqBWsdp1J4QmRRnpsDV,1,22274.82,35105.75,-12830.93
62nvXUcG8bKp1BFqJfFr5Rz223QrLrHdSE4oupDAGsvF,1,262.01,500.0,-237.99
FfBCzGQ3XsqLNzuHbdpHp1xfe6FjvMZyiumX1mLhTNic,1,1908.04,358.45,1549.59
CAHqfBGhZmDQwgMxmtfygrWVbUpRya8fRVFsvAuMpHab,1,1970.15,1965.14,5.01
EYv7UzCLNcErFgySgZZrMp6sZ7ETbmcUw5yr9nGjXE5g,1,609.94,731.46,-121.51
DpZLPKCBdoPmTZnUKauzyvrZNgXM8n1wwJxSEkq3TiTy,1,43.74,75.01,-31.27
4rVy4rVzwuJnCCiTkQYHvhMsdrEhoVmSCdXcQ3vdawyC,1,194.69,276.88,-82.18
GYWD3G4uBPN3zyiiogbbS1hjXno6vEkso2s8aDefyLjj,2,1337.84,1205.85,131.99
eWi9E4uWWTppbRsNVZsRS2PD1xNW9E1L7WLNLjBiabf,1,78.04,68.93,9.11
FGjzPXTqEFornw3PjCmaNvhHZrZUGSjPBtfPJvJfo4Qi,1,298.75,380.12,-81.37
AFM6BDJUbSe26X5oDt8tnDLTSXrpT9KGVg9mnsJ4nHrG,1,267.18,234.72,32.46
EuvqqgjMUnhgWD1x4UcSBEuUXFaGbYjCFSuMoWBAYNKV,2,1367.52,700.0,667.52
51CbFuSpHYH814KG3uQUPhssCP3w2VcTZgMYGtBWDJg1,1,294.77,368.49,-73.72
3biou98cRHiACJjHQkdGe9MiyDUWCHv9PNJVJKYR2znt,1,253.08,228.17,24.91
89XnvgGVKvtx5trrLtkrPZ6G2tD2TrSgPHXEWQPs5iN9,1,1274.81,1596.51,-321.7
5aS1ex1tCf2bFhsDmoeDWYyD5v25mFMGTG7jomLPAojk,1,4.63,5.9,-1.27
Gxn19nvzaSB4gyjmgaDRaKu9KUFF1j8DSpyNrWLnVnNi,2,1272.08,866.97,405.11
ArXVpvFmcBfcU8LVmaKCFZJR1fAnpq2AD6zHMgyXAbAy,1,963.64,1550.47,-586.83
ATzDCs3UZJLNMtTD3yf4SEQqphUfhz8oLiHJSQqWHvU6,2,625.34,710.56,-85.22
7HBodqUDeGqqnXE9Z4w6MfAWiYoCkL112ERMD4Gy6vnS,1,22.23,38.28,-16.05
AwfPy4WTVm2fL9kdAREMsY1zfJ3eKSYUpjcDcNrzEZTR,6,3609.52,6436.56,-2827.03
C2U18kk4ESMT2Ssz93ShyhfvQ7qBrn5NvdonoZeHmpBS,1,821.18,500.0,321.18
4wPP9HRred7nm1TUDVbWDaAxBA99F2dyUHcxLVXEop5X,1,160.14,149.99,10.15
GJDvfFx1tcKw9YaAHBaioni2B6td4B3bdXCD5NpeJ46Z,1,247.58,291.0,-43.42
4e6ALgpN3BLYmvfqCbUoDKWgtxa7XuhbwmVUVWkBhT2J,1,145.78,114.58,31.2
5ZWyfZmGeQZttYheYWZTg8sgjWoLY64BEqcXHGQBp6fd,3,944.37,632.92,311.45
ACNQhqBXVhW3sX7wwd3mPM2Z46zpp6kpcysv3bwojdFj,1,110.71,366.09,-255.38
5gMz31riyQNcWZTogvdtb9aghyMFgsaBnP7PrcWeqJ7U,1,197.67,205.22,-7.56
79NNLtiiPoqt8Eb9patWRQGN8cQxbqFWAfPC4naLADge,6,3652.49,4451.9,-799.41
4TUzZrY3wbZoH3i5HjCWN2QsE3ksy5VBwiEo5Cq599s4,1,315.34,500.0,-184.66
35PEoFBWb6ie4yAoJTRoi9PmkHvbie3hZvneHaRnm8j9,1,24.02,20.26,3.76
EQdbf4k9at7mfiSmEcHCia5yVWzTt3U5eRq3D44eHypv,1,867.81,989.56,-121.76
AMcHYqUj4HPUdkDkEatguugNSmKaQTdvxzexzqsXDU4r,13,23716.63,9406.35,14310.29
CdmqMYX8saTzLMyHeZpNtqaPQ7n27TMX9kDmFT9yq6CL,1,3980.71,4219.85,-239.14
5HKxW4wuc1zBbbFe91eSf7kohkkBM77JWd1qFSL7pn1g,1,330.76,400.0,-69.24
DpDUWM6oKejtGLCqcAPWSJntKGxeiv89rmvFPZcRRoHv,4,6158.96,3678.76,2480.2
DNHBGkVi5BFYmLmtDobfzesYz8FjuhEGNK2D4nTfCpfr,2,641.44,990.0,-348.56
GP1xAhDLhkRFsKXzLWb3PGAPHu8AMfnpYCBREfCW9HYH,1,21.81,46.2,-24.39
8HegH7SfZfFFMRZuTv5i9XGWC6TeK4Enka93akBaPszL,1,1648.83,1203.19,445.64
8fJGJgVdwY8yAkDuPsW4btQvt6ovGyGUbs9p6mC9vbLA,1,34.74,14.54,20.21
5eg26oEZnD38Vy4zuLPVHtbydsb3v4YPdapH3ExzvJb3,1,123.48,400.0,-276.52
Em8pmyNT1wQKtNG8DNgsgTGpWRe4xLe9fShxRE8u2Wuh,1,117.71,82.77,34.94
An8nqzANvwawb5bKmFqSTiDLbFLmmPut8KiXiVjffCdJ,1,114.31,251.3,-136.98
2b3DppCbYb6ejxNLSP3jztFHhVMfteyrR4grCxXTLvsM,1,447.39,1004.1,-556.71
CPfNEW1mfBBKxDWwFVjQA3xGcKTjqDdtadzsB74aYjsf,1,215.6,189.06,26.54
EwVUVVzYzwZQkhcMipNBjBZd2pXNDbLmf5WPTZDuqL7q,1,111.46,89.4,22.06
5XDN1u5CggJoGxqsMQEsU2VcZXrwD9ChHfzJ9HRzEELw,3,2963.24,1961.88,1001.36
GEnCroDLvceCgrpLQwtCfDJw8XmihcYV8E888bn1uCoE,1,286.4,106.29,180.1
E8P4n8fQo339XGGGRMUAFyiDx89zdt14wMaQDsFkcw7N,1,124.01,133.09,-9.08
3oxCWNLvrTF15tqrbsbFfLHtYXXguPBfoDzZ1idHNiSt,1,344.11,297.48,46.64
G1JJpv3s4d6egUCMUmBaw7fY8AQaaAqMrCw1gkMnsatM,1,37.19,201.91,-164.72
2dm9v8uTt9QFsN5tBSdqtvdLsyWLW1NqfSKAjSD9mLXd,1,426.95,500.0,-73.05
38riS7AhbAqdtjiPDPVqRFTRHZLQNz1QvCFnk18bfPPQ,3,562.03,567.5,-5.47
FFNPiUA5n4t7ZJ6SwNykvoerEn3e2vNLjet5B5anksx,1,171.35,43.86,127.49
9T43s67Lbi2dAwRH1XaCM8ftb7v6xfNTT9QMKcaKNbs,1,100.11,109.89,-9.77
DseHez8pmHoPimNEf1Th94ffBG8GLqWcKETDhd6CCiwR,2,469.99,448.25,21.74
Ein3cgg1uJ2Y9Sy6MDn9zrMFAerhALSDkR6io4gN66Wv,1,232.04,244.07,-12.04
8VamThmNm8sgeR2f8vcw9Xi2uemtsHYeeEjoKbNbLyoq,1,218.74,209.51,9.23
CPLyLzt9ANrFFkhzgu8W8wRe9DiEmAVaXpZr5RSKdUkc,1,351.56,356.36,-4.8
CZkNKEwyeVJS2vHriYE3pG8CxRPL34PccTG88T6s5oAk,1,19.38,18.22,1.16
Aa9mKfLj4FB9kyNLwEgnHDrU7QwsxMTTQMp5mi18Uxi6,1,264.72,414.33,-149.61
49W8nU9vhidNeksrFuNdSXcqGMZwqAPh1KsJ2DCQDmkf,1,481.64,664.9,-183.26
E5xTsZP48EFPMTHejWMe5Ahw1dwNpxMrgNEikUuvR2ak,1,429.92,429.88,0.04
F9umrfsgwzgiJkwRTxmja5wJSeDDMJ4KFLfUECj8ndig,1,1005.03,1011.04,-6.02
9F8PQy1k3FwLh8UtxBPqYkaNscKqXxWCr5aHkTxRnsuT,1,110.58,211.72,-101.14
E3JtVT21XffuKqXGj7tjpqPjRbZ8E6xcr9wubTQrDoeo,1,106.48,95.64,10.85
9qegTXMQS6H1jNeW5VRk5UXDoL8unDyKKPXwzHEFqcMx,1,196.06,234.32,-38.26
GXbbcaEhwmyx5mLAByAjQDwxa8gbCutYmsWCRhUC9BEz,1,158.61,243.06,-84.44
2LYtM4XhkRnwdd3tKuZ47MrZHjG4MoUkyuNxU5jfnYJP,1,44.63,70.97,-26.34
9jJTiESEJdGQhDYq4JVi7pN4tmQzhkbzaNYMpiMNhZA,1,1325.19,1661.99,-336.8
E36oVtv7ugYkdy2dqYkUNiBqpVJJBN2zhPhZujSAiHLY,1,29.03,71.61,-42.59
5i53aEmnkx28vFcXYsr6ZQApvUDKDgqEeE8uvdHMMu1q,1,2.99,2.81,0.17
2undSLP1h9Y1AdsQCoKJHrdRa9hBe5FFGty4iouBcDSL,1,204.42,188.6,15.81
5e1ocCgehcPquMovaEE6tMEcA3i9G9YBRDHJCponY1io,1,500.9,224.66,276.25
8N544CG9j44dkzu4CjSWHxpwekxHQPTR4R17Kw9y5FBk,1,2918.58,2834.89,83.69
A8pjbqptf9d7gPhknsJgWJ39sNAEA7Nj3Yx8ZUmum9fV,1,194.02,423.99,-229.97
DaCmoV8Mh2gde56knPA9ZpjtJqo9yLHEZCvJfvbPEjrM,1,250.6,90.97,159.63
5dymKPN1W5WZqqqYsj6tH6taGZGbmvG3ZyMunUXJ3e1p,1,527.94,566.34,-38.4
H7nxGJbGafpCf2rp8wzqTMkz8aboW5znhVQF18AxtuQp,1,676.17,626.66,49.51
34zYdndtXRYNyY5AnoxSW5iPxAxtWTA23etZ6RSpT3HZ,1,2983.37,2759.9,223.47
2PpZ2RxStvV8imTzNbcsLTvCVmjdM1q1tMho5sPRJGPn,1,832.47,218.17,614.29
